V(VBN),V(XOTA:TAIL),V(XOTA:D),V(VSS),V(VDD),V(OUT),V(IN)
8.20972917e-01,8.70593319e-01,2.36616343e+00,0.00000000e+00,3.30000000e+00,1.94434654e+00,1.94000000e+00
8.20972917e-01,8.78545940e-01,2.36608473e+00,0.00000000e+00,3.30000000e+00,1.95424907e+00,1.95000000e+00
8.20972917e-01,8.86502733e-01,2.36600613e+00,0.00000000e+00,3.30000000e+00,1.96415139e+00,1.96000000e+00
8.20972917e-01,8.94463672e-01,2.36592761e+00,0.00000000e+00,3.30000000e+00,1.97405351e+00,1.97000000e+00
8.20972917e-01,9.02428731e-01,2.36584916e+00,0.00000000e+00,3.30000000e+00,1.98395542e+00,1.98000000e+00
8.20972917e-01,9.10397887e-01,2.36577079e+00,0.00000000e+00,3.30000000e+00,1.99385712e+00,1.99000000e+00
8.20972917e-01,9.18371115e-01,2.36569248e+00,0.00000000e+00,3.30000000e+00,2.00375859e+00,2.00000000e+00
8.20972917e-01,9.26348390e-01,2.36561424e+00,0.00000000e+00,3.30000000e+00,2.01365985e+00,2.01000000e+00
8.20972917e-01,9.34329688e-01,2.36553605e+00,0.00000000e+00,3.30000000e+00,2.02356089e+00,2.02000000e+00
8.20972917e-01,9.42314985e-01,2.36545791e+00,0.00000000e+00,3.30000000e+00,2.03346170e+00,2.03000000e+00
8.20972917e-01,9.50304258e-01,2.36537982e+00,0.00000000e+00,3.30000000e+00,2.04336227e+00,2.04000000e+00
8.20972917e-01,9.58297483e-01,2.36530177e+00,0.00000000e+00,3.30000000e+00,2.05326262e+00,2.05000000e+00
8.20972917e-01,9.66294636e-01,2.36522376e+00,0.00000000e+00,3.30000000e+00,2.06316272e+00,2.06000000e+00
8.20972917e-01,9.74295695e-01,2.36514578e+00,0.00000000e+00,3.30000000e+00,2.07306258e+00,2.07000000e+00
8.20972917e-01,9.82300637e-01,2.36506783e+00,0.00000000e+00,3.30000000e+00,2.08296220e+00,2.08000000e+00
8.20972917e-01,9.90309437e-01,2.36498990e+00,0.00000000e+00,3.30000000e+00,2.09286157e+00,2.09000000e+00
8.20972917e-01,9.98322075e-01,2.36491200e+00,0.00000000e+00,3.30000000e+00,2.10276068e+00,2.10000000e+00
8.20972917e-01,1.00633853e+00,2.36483411e+00,0.00000000e+00,3.30000000e+00,2.11265953e+00,2.11000000e+00
8.20972917e-01,1.01435877e+00,2.36475623e+00,0.00000000e+00,3.30000000e+00,2.12255811e+00,2.12000000e+00
8.20972917e-01,1.02238278e+00,2.36467836e+00,0.00000000e+00,3.30000000e+00,2.13245643e+00,2.13000000e+00
8.20972917e-01,1.03041054e+00,2.36460049e+00,0.00000000e+00,3.30000000e+00,2.14235448e+00,2.14000000e+00
8.20972917e-01,1.03844203e+00,2.36452262e+00,0.00000000e+00,3.30000000e+00,2.15225225e+00,2.15000000e+00
8.20972917e-01,1.04647722e+00,2.36444475e+00,0.00000000e+00,3.30000000e+00,2.16214973e+00,2.16000000e+00
8.20972917e-01,1.05451609e+00,2.36436686e+00,0.00000000e+00,3.30000000e+00,2.17204693e+00,2.17000000e+00
